Date,Temperature,NOx,Wind Direction,Wind Speed,PM2.5
1/12/19 7:00,20.6,58.2,10,1.9,66
1/12/19 8:00,21.6,49.9#                          ,14,2.1,71
1/12/19 9:00,23.4,47.9,358,2.1,63
1/12/19 10:00,25.4,38.9,1,2.3,70
1/12/19 11:00,27.3,21.3,340,3.1,67
1/12/19 12:00,26.7,20.5,334,3.1,67
1/12/19 13:00,26.8,16.4,344,3.6,54
1/12/19 14:00,27.2,14.8,356,3.3,42
1/12/19 15:00,26.7,15.8,333,2.8,41
1/12/19 16:00,25.7,16.9,359,2.7,31
1/12/19 17:00,24.4,20.5,346,2.2,34
1/12/19 18:00,23.1,21.9,344,2.6,33
1/12/19 19:00,21.9,20.4,353,2.7,42
1/12/19 20:00,21,19.9,26,1.7,41
1/12/19 21:00,20.5,28.9,349,2.3,31
1/12/19 22:00,20.2,29.4,19,2.7,26
1/12/19 23:00,20.1,31.2,13,1.4,18
1/13/19 0:00,20,36.2,14,1.2,25
1/13/19 1:00,19.9,34.5,337,2.3,22
1/13/19 2:00,19.2,26.2,18,2.9,21
1/13/19 3:00,19.1,18.4,21,2.9,14
1/13/19 4:00,19.2,16.5,20,2,15
1/13/19 5:00,19.2,22.3,19,2.6,17
1/13/19 6:00,19,20.4,9,3.2,16
1/13/19 7:00,18.9,16.1,5,4.2,14
1/13/19 8:00,19.7,20.4,5,3.6,13
1/13/19 9:00,21.1,21.4,13,3.4,14
1/13/19 10:00,23.2,20.8,338,2.4,24
1/13/19 11:00,25.2,15.2,348,2.7,37
1/13/19 12:00,26.3,12.6,328,3,38
1/13/19 13:00,26.4,12.2,350,2.8,31
1/13/19 14:00,25.5,11.2,334,3.5,25
1/13/19 15:00,24.6,12.9,358,3.5,26
1/13/19 16:00,23.4,11.9,353,3.3,23
1/13/19 17:00,21.7,11.4,21,2.6,20
1/13/19 18:00,20.6,14.4,12,2.3,21
1/13/19 19:00,20.1,16.2,7,3,24
1/13/19 20:00,19.8,18.7,6,2.5,31
1/13/19 21:00,19.3,20.7,13,2.7,36
1/13/19 22:00,18.9,20.4,11,2.8,30
1/13/19 23:00,18.9,19.7,26,2.6,24
1/14/19 0:00,18.7,18.1,24,2.2,15
1/14/19 1:00,18.6,17.3,10,3.5,18
1/14/19 2:00,18.6,14.8,13,3,14
1/14/19 3:00,18.6,15.2,26,2.4,19
1/14/19 4:00,18.6,17.4,5,3,17
1/14/19 5:00,18.4,16.3,18,3.1,19
1/14/19 6:00,18.3,17.1,24,3.2,12
1/14/19 7:00,18.3,23.2,21,2.5,11
1/14/19 8:00,19.5,26.3,26,2.6,15
1/14/19 9:00,21.4,31.5,17,2.1,21
1/14/19 10:00,23.4,29,20,2,27
1/14/19 11:00,24.9,19.4,345,2.1,27#                            
1/14/19 12:00,25.9,14.4,310,1.8,30#                            
1/14/19 13:00,25.6,10.9#                          ,285,2.3,30
1/14/19 14:00,25.6,12.5,295,2,26
1/14/19 15:00,24.9,14.5,354,2.6,27
1/14/19 16:00,23.7,16.4,353,2.9,30
1/14/19 17:00,22.3,16.1,14,2.8,32
1/14/19 18:00,21,16.5,10,3,25
1/14/19 19:00,20.3,17.2,10,2.6,27
1/14/19 20:00,19.8,17.9,9,2.1,32
1/14/19 21:00,19.6,22.8,8,2,37
1/14/19 22:00,19.6,23.6,24,2.2,33
1/14/19 23:00,19.4,19.9,20,2.3,27
1/15/19 0:00,19.2,13.7,23,2.7,30
1/15/19 1:00,19.1,13,19,2.4,24
1/15/19 2:00,18.9,12.1,9,2.8,31
1/15/19 3:00,18.6,11.7,7,2.6,26
1/15/19 4:00,18.5,15.2,13,2.5,47
1/15/19 5:00,18.4,16.3,21,2.5,59
1/15/19 6:00,18.4,18.2,25,2,73
1/15/19 7:00,18.7,24.8,14,2.6,72
1/15/19 8:00,19.5,31,16,2.1,66
1/15/19 9:00,21.4,32.6,9,1.7,59
1/15/19 10:00,23.5,30.9,358,1.6,61
1/15/19 11:00,25,23.6,44,1.4,65
1/15/19 12:00,25.8,17.6,298,2.4,75
1/15/19 13:00,26,16.7,306,2.4,71
1/15/19 14:00,25.5,18.3,319,2.4,65
1/15/19 15:00,24.2,20.3,322,2.7,50
1/15/19 16:00,22.5,19.5,334,3.6,48
1/15/19 17:00,21.2,19.1,9,3.5,45
1/15/19 18:00,20,16.3,19,3.5,51
1/15/19 19:00,19.7,19,4,3.4,67
1/15/19 20:00,19.6,21.2,13,2.9,73
1/15/19 21:00,19.7,22,21,2.8,72
1/15/19 22:00,19.5,19.3,6,2.7,57
1/15/19 23:00,19.5,17,15,2.4,52
1/16/19 0:00,19.2,13.7,23,2.6,39
1/16/19 1:00,19,12.9,19,1.9,34
1/16/19 2:00,18.8,12.7,8,2.5,37
1/16/19 3:00,18.7,10.4,4,2.1,37
1/16/19 4:00,18.3,9.9,356,3.1,40
1/16/19 5:00,18,9.7,12,2.8,30
1/16/19 6:00,17.9,13.1,7,2.7,26
